注文番号,会員ID,注文者名,注文者名（かな）,支払い方法,注文日時,GOOSCA商品管理番号,出店者商品管理番号,商品・枝品番名,枝品番管理用コード,単価,数量,小計(税抜),小計(税込),配送方法,お届け先お名前,お届け先郵便番号,お届け先都道府県,お届け先住所1,お届け先住所2,お届け先電話番号,"発送予定日",お届け日希望日,お届け日希望時間帯,注文金額合計,お支払金額合計,消費税額,クーポン利用金額,ポイント利用金額,受注サイト,定期ID,定期初回,ジャックスtransactionID
TY2100001,MB2103385,グースカ　太郎,グースカ　タロウ,クレジットカード,"2021-06-27 15:49:04",GS1900042,SH1800010,"ライシア Bone～健骨・健歯の習慣～ 一回のみお届け　1袋(1日2粒目安 30日分) 1 ",4589782700392,3900,1,3900,4212,ポスト投函(送料無料),,岩手県,,盛岡市盛岡1-1-1,,02-2222-2222,,,,4522,4522,594,0,0,1,,0,
TY2100002,,山田　太郎,ヤマダ　タロウ,代金引換,"2021-06-27 15:50:56",GS1900061,SH1800040,"特稲茶～稲由来シリカの美容伝統茶～ 1回のみのお届け 3パック 1 ",4589782700330-3,2673,1,2673,2887,ポスト投函(310円),"山田 太郎",東京都,,台東区蔵前1-7-7,,05053704160,,,,3412,3412,691,0,0,1,,0,
TY2100005,MB2103385,グースカ　太郎,グースカ　タロウ,クレジットカード,"2021-06-27 20:19:31",GS1900068,SH1900059,"アレルリセット・ライシア稲潤力 1回のみのお届け 1袋(1日4粒目安・30日分) 1 ",4589782700507,5200,1,5200,5616,未設定,,岩手県,,盛岡市盛岡1-1-1,,02-2222-2222,,,,10584,10584,784,0,0,1,,0,
TY2100005,MB2103385,グースカ　太郎,グースカ　タロウ,クレジットカード,"2021-06-27 20:19:31",GS1900067,SH1900049,"RBA-White TripleSun-block 1回のみのお届け 1袋(1日3粒目安・30日分) 1 ",4589782700101,4600,1,4600,4968,未設定,,岩手県,,盛岡市盛岡1-1-1,,02-2222-2222,,,,10584,10584,784,0,0,1,,0,
TY2100006,MB2103385,グースカ　太郎,グースカ　タロウ,クレジットカード,"2021-07-01 16:39:04",GS1900043,SH1800011,"ライシア原粉末～健骨・健歯・健康美～ 定期便　30日分　毎月お届け 1 ",4589782700385-30,2770,1,2770,2992,未設定,,岩手県,,盛岡市盛岡1-1-1,,02-2222-2222,,,,2992,2992,222,0,0,1,RP2100001,1,
TY2100035,MB2103414,後藤　緑,ゴトウ　ミドリ,アトディーネ後払い,"2021-07-02 19:32:26",GS1900068,SH1900059,"アレルリセット・ライシア稲潤力 便利でお得な定期便　1箱(1日4粒目安・30日分)　毎月お届け 1 ",4589782700507-30,3900,1,3900,4212,未設定,"後藤 緑",東京都,,台東区蔵前1-7-7,さいたまハイツ101号,05053704160,,,,4212,4212,312,0,0,2,RP2100030,1,217200002P4
TY2100037,,八神　遥,ヤガミ　ハルカ,アトディーネ後払い,"2021-07-03 19:15:33",GS1900054,SH1800018,"特眠茶　粉末～健康催眠の習慣～ 1回のみのお届け 1袋(粉末40g入) 1 ",4589782700453,2120,1,2120,2290,未設定,"八神 遥",東京都,,台東区蔵前55550-5,,090-9999-9990,,,,24322,24322,1802,0,0,2,,0,21730000461
TY2100037,,八神　遥,ヤガミ　ハルカ,アトディーネ後払い,"2021-07-03 19:15:33",GS1900046,SH1800005,"RBA Beauty 健康美人の極み 1回のみのお届け 2箱(60日分 1日4粒目安) 1 ",4589782700439-2,20400,1,20400,22032,未設定,"八神 遥",東京都,,台東区蔵前55550-5,,090-9999-9990,,,,24322,24322,1802,0,0,2,,0,21730000461
TY2100038,,八神　遥,ヤガミ　ハルカ,アトディーネ後払い,"2021-07-03 19:34:18",GS2000702,,"ユーグレナμ・ライシア 1回のみのお届け 1箱(1日3～4粒目安 90粒入り) 1 ",4589782700361,13000,1,13000,13000,未設定,"八神 遥",東京都,,台東区蔵前55550-5,,090-9999-9990,,,,18616,18616,416,0,0,2,,0,21730000489
TY2100038,,八神　遥,ヤガミ　ハルカ,アトディーネ後払い,"2021-07-03 19:34:18",GS1900068,SH1900059,"アレルリセット・ライシア稲潤力 1回のみのお届け 1袋(1日4粒目安・30日分) 1 ",4589782700507,5200,1,5200,5616,未設定,"八神 遥",東京都,,台東区蔵前55550-5,,090-9999-9990,,,,18616,18616,416,0,0,2,,0,21730000489
