注文番号,会員ID,注文者名,注文者名（かな）,支払い方法,注文日時,GOOSCA商品管理番号,出店者商品管理番号,商品・枝品番名,枝品番管理用コード,単価,数量,小計(税抜),小計(税込),配送方法,お届け先お名前,お届け先お名前（カナ）,お届け先郵便番号,お届け先都道府県,お届け先住所1,お届け先住所2,お届け先電話番号,"発送予定日",お届け日希望日,お届け日希望時間帯,注文金額合計,お支払金額合計,消費税額,クーポン利用金額,ポイント利用金額,注文備考,オプション情報,受注サイト,定期ID,定期管理メモ,定期初回,定期回数,ジャックスtransactionID,ジャックス同梱
TY2100001,MB2103417,近藤　秀樹,コンドウ　ヒデキ,アトディーネ後払い,"2021-07-05 18:11:33",GS1900042,SH1800010,"ライシア Bone～健骨・健歯の習慣～ 便利でお得な定期便　1袋(30日分)　毎月お届け 1 ",4589782700392-30,3042,1,3042,3285,未設定,近藤秀樹,コンドウヒデキ,1110051,東京都,台東区蔵前1-7-7,,05053704160,,,,3285,3285,243,0,0,,オプション情報,2,RP2100001,,1,3,217500000J0,1
TY2100002,MB2103417,近藤　秀樹,コンドウ　ヒデキ,アトディーネ後払い,"2021-08-06 00:00:00",GS1900042,SH1800010,"ライシア Bone～健骨・健歯の習慣～ 便利でお得な定期便　1袋(30日分)　毎月お届け 1.00 ",4589782700392-30,3042,1,3042,3285,未設定,近藤　秀樹,コンドウ　ヒデキ,1110051,東京都,台東区蔵前1-7-7,,05053704160,2021-08-06,,,3285,3285,243,0,0,,オプション情報,1,RP2100001,,0,3,,0
TY2100003,MB2103418,小山　紀夫,コヤマ　ノリオ,アトディーネ後払い,"2021-07-05 18:26:07",GS1900003,SH1800001,"特桑茶　～桑茶の王様・沖縄産ブランド品種「琉球しまぐわRSD-1」使用～ 便利でお得な定期便コース！毎月1パック 1 ",4589782700378-30,2359,1,2359,2548,未設定,小山紀夫,コヤマノリオ,1110051,東京都,台東区蔵前1-7-7,,05053704160,,,,2548,2548,189,0,0,,オプション情報,2,RP2100002,,1,3,217500000K9,1
TY2100004,MB2103418,小山　紀夫,コヤマ　ノリオ,アトディーネ後払い,"2021-08-06 00:00:00",GS1900003,SH1800001,"特桑茶　～桑茶の王様・沖縄産ブランド品種「琉球しまぐわRSD-1」使用～ 便利でお得な定期便コース！毎月1パック 1.00 ",4589782700378-30,2359,1,2359,2548,未設定,小山　紀夫,コヤマ　ノリオ,1110051,東京都,台東区蔵前1-7-7,,05053704160,2021-08-06,,,2548,2548,189,0,0,,オプション情報,1,RP2100002,,0,3,,0
TY2100005,MB2103417,近藤　秀樹,コンドウ　ヒデキ,アトディーネ後払い,"2021-09-07 00:00:00",GS1900042,SH1800010,"ライシア Bone～健骨・健歯の習慣～ 便利でお得な定期便　1袋(30日分)　毎月お届け 1.00 ",4589782700392-30,3042,1,3042,3285,未設定,近藤　秀樹,コンドウ　ヒデキ,1110051,東京都,台東区蔵前1-7-7,,05053704160,2021-09-07,,,3285,3285,243,0,0,,オプション情報,1,RP2100001,,0,3,,0
TY2100006,MB2103418,小山　紀夫,コヤマ　ノリオ,アトディーネ後払い,"2021-09-07 00:00:00",GS1900003,SH1800001,"特桑茶　～桑茶の王様・沖縄産ブランド品種「琉球しまぐわRSD-1」使用～ 便利でお得な定期便コース！毎月1パック 1.00 ",4589782700378-30,2359,1,2359,2548,未設定,小山　紀夫,コヤマ　ノリオ,1110051,東京都,台東区蔵前1-7-7,,05053704160,2021-09-07,,,2548,2548,189,0,0,,オプション情報,1,RP2100002,,0,3,,0
TY2100007,MB2103419,湯本　春子,ユモト　ハルコ,アトディーネ後払い,"2021-07-05 18:30:48",GS1900003,SH1800001,"特桑茶　～桑茶の王様・沖縄産ブランド品種「琉球しまぐわRSD-1」使用～ 便利でお得な定期便コース！毎月1パック 1 ",4589782700378-30,2359,1,2359,2548,未設定,湯本春子,ユモトハルコ,1110051,東京都,台東区蔵前1-7-7,,05053704160,,,,2548,2548,189,0,0,,オプション情報,2,RP2100003,ネコポスで発送して欲しい,1,2,217500000L7,1
TY2100008,MB2103419,湯本　春子,ユモト　ハルコ,アトディーネ後払い,"2021-08-06 00:00:00",GS1900003,SH1800001,"特桑茶　～桑茶の王様・沖縄産ブランド品種「琉球しまぐわRSD-1」使用～ 便利でお得な定期便コース！毎月1パック 1.00 ",4589782700378-30,2359,1,2359,2548,未設定,湯本　春子,ユモト　ハルコ,1110051,東京都,台東区蔵前1-7-7,,05053704160,2021-08-06,,,2548,2548,189,0,0,,オプション情報,2,RP2100003,ネコポスで発送して欲しい,0,2,,0
TY2100009,MB2103385,会員　太郎,カイイン　タロウ,代金引換,"2021-07-05 19:53:41",GS1900056,SH1800003,"MOMOこらーげん～健骨・健美の礎～ 1回のみのお届け 3袋セット(約90日分) 1 ",4589782700446-3,4401,1,4401,4753,未設定,会員太郎,カイインタロウ,1110051,東京都,台東区蔵前1-126,,02-2222-2220,,2021-07-09,,5278,5278,829,0,0,何日ごろ届きますか？,オプション情報,2,,ネコポスで発送して欲しい,0,2,,0
TY2100010,MB2103385,会員　太郎,カイイン　タロウ,代金引換,"2021-07-05 20:24:25",GS2000702,,"ユーグレナμ・ライシア 便利でお得な定期便　1箱　毎月お届け 1 ",4589782700361-30,9490,1,9490,9490,未設定,会員太郎,カイインタロウ,1110051,東京都,台東区蔵前1-126,,02-2222-2220,,,,10015,10015,477,0,0,"あいうえお
かきくけこさしすせそ
たちつてと",オプション情報,2,RP2100004,,1,1,,0
TY2100011,MB2103385,会員　太郎,カイイン　タロウ,アトディーネ後払い,"2021-07-05 22:02:13",GS1900056,SH1800003,"MOMOこらーげん～健骨・健美の礎～ 1回のみのお届け 3袋セット(約90日分) 1 ",4589782700446-3,4401,1,4401,4753,未設定,会員太郎,カイインタロウ,1110051,東京都,台東区蔵前1-126,,02-2222-2220,,,,4753,4753,352,0,0,,オプション情報,2,,,0,1,217500000T1,1
TY2100012,MB2103385,会員　太郎,カイイン　タロウ,アトディーネ後払い,"2021-07-05 22:04:17",GS1900008,SH1800009,"ライシア Beauty～健康美人の習慣～ 1回のみのお届け 1パック(1日2粒目安 30日分) 1 ",4589782700415,3900,1,3900,4212,未設定,会員太郎,カイインタロウ,1110051,東京都,台東区蔵前1-126,,02-2222-2220,,,,4212,4212,312,0,0,,オプション情報,2,,,0,1,217500000U0,1
